class,count
AIR COMPRESSOR,630
ALTERNATOR,634
BATTERY,555
BRAKE CALIPER,548
BRAKE PAD,618
BRAKE ROTOR,581
CAMSHAFT,539
CARBERATOR,633
CLUTCH PLATE,353
COIL SPRING,534
CRANKSHAFT,587
CYLINDER HEAD,595
DISTRIBUTOR,490
ENGINE BLOCK,591
ENGINE VALVE,370
FUEL INJECTOR,620
FUSE BOX,542
GAS CAP,612
HEADLIGHTS,516
IDLER ARM,652
IGNITION COIL,672
INSTRUMENT CLUSTER,404
LEAF SPRING,377
LOWER CONTROL ARM,550
MUFFLER,520
OIL FILTER,524
OIL PAN,613
OIL PRESSURE SENSOR,410
OVERFLOW TANK,626
OXYGEN SENSOR,597
PISTON,378
PRESSURE PLATE,425
RADIATOR,573
RADIATOR FAN,550
RADIATOR HOSE,594
RADIO,414
RIM,574
SHIFT KNOB,412
SIDE MIRROR,417
SPARK PLUG,526
SPOILER,431
STARTER,635
TAILLIGHTS,526
THERMOSTAT,583
TORQUE CONVERTER,612
TRANSMISSION,521
VACUUM BRAKE BOOSTER,598
VALVE LIFTER,578
WATER PUMP,585
WINDOW REGULATOR,395
TOTAL,26820
